Index,Token ID,Element,Action,Relative Time,Absolute Time
0, 000,START EVENT,Enter,00000000,03/01/2008
1, 000,START EVENT,Leave,00000000,03/01/2008
2, 000,Exclusive Gateway Split 1,Enter,00000000,03/01/2008
3, 000,Exclusive Gateway Split 1,Leave,00000000,03/01/2008
4, 000,Create Purchase Order,Enter,00000000,03/01/2008
5, 000,Create Purchase Order,Leave,00103157,03/01/2008
6, 000,Exclusive Gateway Split 2,Enter,00103157,03/01/2008
7, 000,Exclusive Gateway Split 2,Leave,00103157,03/01/2008
8, 000,Exclusive Gateway Split 3,Enter,00103157,03/01/2008
9, 000,Exclusive Gateway Split 3,Leave,00103157,03/01/2008
10, 000,Parallel Gateway Split,Enter,00103157,03/01/2008
11, 000,Parallel Gateway Split,Leave,00103157,03/01/2008
12, 000,Record Invoice Receipt,Enter,00103157,03/01/2008
13, 000,Parallel Gateway Split,Leave,00103157,03/01/2008
14, 000,Record Goods Receipt,Enter,00103157,03/01/2008
15, 001,START EVENT,Enter,00307985,03/01/2008
16, 001,START EVENT,Leave,00307985,03/01/2008
17, 001,Exclusive Gateway Split 1,Enter,00307985,03/01/2008
18, 001,Exclusive Gateway Split 1,Leave,00307985,03/01/2008
19, 001,Create Purchase Requisition,Enter,00307985,03/01/2008
20, 001,Create Purchase Requisition,Leave,00324442,03/01/2008
21, 001,Create Purchase Order,Enter,00324442,03/01/2008
22, 001,Create Purchase Order,Leave,00446162,03/01/2008
23, 001,Exclusive Gateway Split 2,Enter,00446162,03/01/2008
24, 001,Exclusive Gateway Split 2,Leave,00446162,03/01/2008
25, 001,Exclusive Gateway Split 3,Enter,00446162,03/01/2008
26, 001,Exclusive Gateway Split 3,Leave,00446162,03/01/2008
27, 001,Parallel Gateway Split,Enter,00446162,03/01/2008
28, 001,Parallel Gateway Split,Leave,00446162,03/01/2008
29, 001,Record Invoice Receipt,Enter,00446162,03/01/2008
30, 001,Parallel Gateway Split,Leave,00446162,03/01/2008
31, 001,Record Goods Receipt,Enter,00446162,03/01/2008
32, 002,START EVENT,Enter,00638245,03/01/2008
33, 002,START EVENT,Leave,00638245,03/01/2008
34, 002,Exclusive Gateway Split 1,Enter,00638245,03/01/2008
35, 002,Exclusive Gateway Split 1,Leave,00638245,03/01/2008
36, 002,Create Purchase Requisition,Enter,00638245,03/01/2008
37, 002,Create Purchase Requisition,Leave,00654956,03/01/2008
38, 002,Create Purchase Order,Enter,00654956,03/01/2008
39, 002,Create Purchase Order,Leave,00773803,03/01/2008
40, 002,Exclusive Gateway Split 2,Enter,00773803,03/01/2008
41, 002,Exclusive Gateway Split 2,Leave,00773803,03/01/2008
42, 002,Print and Send Purchase Order (Paper),Enter,00773803,03/01/2008
43, 002,Print and Send Purchase Order (Paper),Leave,00773808,03/01/2008
44, 002,Exclusive Gateway Split 3,Enter,00773808,03/01/2008
45, 002,Exclusive Gateway Split 3,Leave,00773808,03/01/2008
46, 002,Receive Order Confirmation,Enter,00773808,03/01/2008
47, 003,START EVENT,Enter,00960986,03/01/2008
48, 003,START EVENT,Leave,00960986,03/01/2008
49, 003,Exclusive Gateway Split 1,Enter,00960986,03/01/2008
50, 003,Exclusive Gateway Split 1,Leave,00960986,03/01/2008
51, 003,Create Purchase Requisition,Enter,00960986,03/01/2008
52, 003,Create Purchase Requisition,Leave,00978486,03/01/2008
53, 003,Create Purchase Order,Enter,00978486,03/01/2008
54, 003,Create Purchase Order,Leave,01092478,03/01/2008
55, 003,Exclusive Gateway Split 2,Enter,01092478,03/01/2008
56, 003,Exclusive Gateway Split 2,Leave,01092478,03/01/2008
57, 003,Print and Send Purchase Order (Paper),Enter,01092478,03/01/2008
58, 003,Print and Send Purchase Order (Paper),Leave,01092484,03/01/2008
59, 003,Exclusive Gateway Split 3,Enter,01092484,03/01/2008
60, 003,Exclusive Gateway Split 3,Leave,01092484,03/01/2008
61, 003,Receive Order Confirmation,Enter,01092484,03/01/2008
62, 002,Receive Order Confirmation,Leave,01144224,03/01/2008
63, 002,Parallel Gateway Split,Enter,01144224,03/01/2008
64, 002,Parallel Gateway Split,Leave,01144224,03/01/2008
65, 002,Record Invoice Receipt,Enter,01144224,03/01/2008
66, 002,Parallel Gateway Split,Leave,01144224,03/01/2008
67, 002,Record Goods Receipt,Enter,01144224,03/01/2008
68, 000,Record Goods Receipt,Leave,01161988,03/01/2008
69, 000,Parallel Gateway Join,Enter,01161988,03/01/2008
70, 000,Record Invoice Receipt,Leave,01207655,03/01/2008
71, 000,Parallel Gateway Join,Enter,01207655,03/01/2008
72, 000,Parallel Gateway Join,Leave,01207655,03/01/2008
73, 000,Clear Invoice,Enter,01207655,03/01/2008
74, 004,START EVENT,Enter,01284567,03/01/2008
75, 004,START EVENT,Leave,01284567,03/01/2008
76, 004,Exclusive Gateway Split 1,Enter,01284567,03/01/2008
77, 004,Exclusive Gateway Split 1,Leave,01284567,03/01/2008
78, 004,Create Purchase Requisition,Enter,01284567,03/01/2008
79, 004,Create Purchase Requisition,Leave,01303094,03/01/2008
80, 004,Create Purchase Order,Enter,01303094,03/01/2008
81, 004,Create Purchase Order,Leave,01430209,03/01/2008
82, 004,Exclusive Gateway Split 2,Enter,01430209,03/01/2008
83, 004,Exclusive Gateway Split 2,Leave,01430209,03/01/2008
84, 004,Print and Send Purchase Order (Paper),Enter,01430209,03/01/2008
85, 004,Print and Send Purchase Order (Paper),Leave,01430214,03/01/2008
86, 004,Exclusive Gateway Split 3,Enter,01430214,03/01/2008
87, 004,Exclusive Gateway Split 3,Leave,01430214,03/01/2008
88, 004,Receive Order Confirmation,Enter,01430214,03/01/2008
89, 003,Receive Order Confirmation,Leave,01467643,03/01/2008
90, 003,Parallel Gateway Split,Enter,01467643,03/01/2008
