Index,Token ID,Element,Action,Relative Time,Absolute Time
0, 000,START EVENT,Enter,00000000,03/01/2008
1, 000,START EVENT,Leave,00000000,03/01/2008
2, 000,Exclusive Gateway Split 1,Enter,00000000,03/01/2008
3, 000,Exclusive Gateway Split 1,Leave,00000000,03/01/2008
4, 000,Create Purchase Requisition,Enter,00000000,03/01/2008
5, 000,Create Purchase Requisition,Leave,00014435,03/01/2008
6, 000,Exclusive Gateway Join 1,Enter,00014435,03/01/2008
7, 000,Exclusive Gateway Join 1,Leave,00014435,03/01/2008
8, 000,Create Purchase Order,Enter,00014435,03/01/2008
9, 000,Create Purchase Order,Leave,00140349,03/01/2008
10, 000,Exclusive Gateway Split 2,Enter,00140349,03/01/2008
11, 000,Exclusive Gateway Split 2,Leave,00140349,03/01/2008
12, 000,Exclusive Gateway Join 2,Enter,00140349,03/01/2008
13, 000,Exclusive Gateway Join 2,Leave,00140349,03/01/2008
14, 000,Exclusive Gateway Split 3,Enter,00140349,03/01/2008
15, 000,Exclusive Gateway Split 3,Leave,00140349,03/01/2008
16, 000,Exclusive Gateway Join 3,Enter,00140349,03/01/2008
17, 000,Exclusive Gateway Join 3,Leave,00140349,03/01/2008
18, 000,Parallel Gateway Split,Enter,00140349,03/01/2008
19, 000,Parallel Gateway Split,Leave,00140349,03/01/2008
20, 000,Record Invoice Receipt,Enter,00140349,03/01/2008
21, 000,Parallel Gateway Split,Leave,00140349,03/01/2008
22, 000,Record Goods Receipt,Enter,00140349,03/01/2008
23, 001,START EVENT,Enter,00307985,03/01/2008
24, 001,START EVENT,Leave,00307985,03/01/2008
25, 001,Exclusive Gateway Split 1,Enter,00307985,03/01/2008
26, 001,Exclusive Gateway Split 1,Leave,00307985,03/01/2008
27, 001,Create Purchase Requisition,Enter,00307985,03/01/2008
28, 001,Create Purchase Requisition,Leave,00326923,03/01/2008
29, 001,Exclusive Gateway Join 1,Enter,00326923,03/01/2008
30, 001,Exclusive Gateway Join 1,Leave,00326923,03/01/2008
31, 001,Create Purchase Order,Enter,00326923,03/01/2008
32, 001,Create Purchase Order,Leave,00427388,03/01/2008
33, 001,Exclusive Gateway Split 2,Enter,00427388,03/01/2008
34, 001,Exclusive Gateway Split 2,Leave,00427388,03/01/2008
35, 001,Exclusive Gateway Join 2,Enter,00427388,03/01/2008
36, 001,Exclusive Gateway Join 2,Leave,00427388,03/01/2008
37, 001,Exclusive Gateway Split 3,Enter,00427388,03/01/2008
38, 001,Exclusive Gateway Split 3,Leave,00427388,03/01/2008
39, 001,Exclusive Gateway Join 3,Enter,00427388,03/01/2008
40, 001,Exclusive Gateway Join 3,Leave,00427388,03/01/2008
41, 001,Parallel Gateway Split,Enter,00427388,03/01/2008
42, 001,Parallel Gateway Split,Leave,00427388,03/01/2008
43, 001,Record Invoice Receipt,Enter,00427388,03/01/2008
44, 001,Parallel Gateway Split,Leave,00427388,03/01/2008
45, 001,Record Goods Receipt,Enter,00427388,03/01/2008
46, 002,START EVENT,Enter,00638245,03/01/2008
47, 002,START EVENT,Leave,00638245,03/01/2008
48, 002,Exclusive Gateway Split 1,Enter,00638245,03/01/2008
49, 002,Exclusive Gateway Split 1,Leave,00638245,03/01/2008
50, 002,Exclusive Gateway Join 1,Enter,00638245,03/01/2008
51, 002,Exclusive Gateway Join 1,Leave,00638245,03/01/2008
52, 002,Create Purchase Order,Enter,00638245,03/01/2008
53, 002,Create Purchase Order,Leave,00741080,03/01/2008
54, 002,Exclusive Gateway Split 2,Enter,00741080,03/01/2008
55, 002,Exclusive Gateway Split 2,Leave,00741080,03/01/2008
56, 002,Print and Send Purchase Order (Paper),Enter,00741080,03/01/2008
57, 002,Print and Send Purchase Order (Paper),Leave,00741085,03/01/2008
58, 002,Exclusive Gateway Join 2,Enter,00741085,03/01/2008
59, 002,Exclusive Gateway Join 2,Leave,00741085,03/01/2008
60, 002,Exclusive Gateway Split 3,Enter,00741085,03/01/2008
61, 002,Exclusive Gateway Split 3,Leave,00741085,03/01/2008
62, 002,Receive Order Confirmation,Enter,00741085,03/01/2008
63, 003,START EVENT,Enter,00960986,03/01/2008
64, 003,START EVENT,Leave,00960986,03/01/2008
65, 003,Exclusive Gateway Split 1,Enter,00960986,03/01/2008
66, 003,Exclusive Gateway Split 1,Leave,00960986,03/01/2008
67, 003,Exclusive Gateway Join 1,Enter,00960986,03/01/2008
68, 003,Exclusive Gateway Join 1,Leave,00960986,03/01/2008
69, 003,Create Purchase Order,Enter,00960986,03/01/2008
70, 003,Create Purchase Order,Leave,01068459,03/01/2008
71, 003,Exclusive Gateway Split 2,Enter,01068459,03/01/2008
72, 003,Exclusive Gateway Split 2,Leave,01068459,03/01/2008
73, 003,Print and Send Purchase Order (Paper),Enter,01068459,03/01/2008
74, 003,Print and Send Purchase Order (Paper),Leave,01068464,03/01/2008
75, 003,Exclusive Gateway Join 2,Enter,01068464,03/01/2008
76, 003,Exclusive Gateway Join 2,Leave,01068464,03/01/2008
77, 003,Exclusive Gateway Split 3,Enter,01068464,03/01/2008
78, 003,Exclusive Gateway Split 3,Leave,01068464,03/01/2008
79, 003,Receive Order Confirmation,Enter,01068464,03/01/2008
80, 002,Receive Order Confirmation,Leave,01088706,03/01/2008
81, 002,Exclusive Gateway Join 3,Enter,01088706,03/01/2008
82, 002,Exclusive Gateway Join 3,Leave,01088706,03/01/2008
83, 002,Parallel Gateway Split,Enter,01088706,03/01/2008
84, 002,Parallel Gateway Split,Leave,01088706,03/01/2008
85, 002,Record Invoice Receipt,Enter,01088706,03/01/2008
86, 002,Parallel Gateway Split,Leave,01088706,03/01/2008
87, 002,Record Goods Receipt,Enter,01088706,03/01/2008
88, 000,Record Goods Receipt,Leave,01197635,03/01/2008
89, 000,Parallel Gateway Join,Enter,01197635,03/01/2008
