started_at,2008-01-03 00:00:00+02:00
completed_at,2009-04-01 07:00:51.811205+02:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
resource_role_1_0,ROLE 1_0,0.3231407628387394,733,12683403.49043677,39250397.811205,default_profile,Default profile
resource_role_1_1,ROLE 1_1,0.32401906088190313,733,12717877.03802775,39250397.811205,default_profile,Default profile
resource_role_1_2,ROLE 1_2,0.32613667938687657,732,12800994.406760328,39250397.811205,default_profile,Default profile
resource_role_1_3,ROLE 1_3,0.3246434948963241,733,12742386.321500622,39250397.811205,default_profile,Default profile
resource_role_1_4,ROLE 1_4,0.3239016157293233,731,12713267.269067993,39250397.811205,default_profile,Default profile
resource_role_1_5,ROLE 1_5,0.32571199377608495,731,12784325.327592062,39250397.811205,default_profile,Default profile
resource_role_1_6,ROLE 1_6,0.32407312327330656,733,12719999.00839696,39250397.811205,default_profile,Default profile
resource_role_1_7,ROLE 1_7,0.32480141394073964,736,12748584.706815897,39250397.811205,default_profile,Default profile
resource_role_1_8,ROLE 1_8,0.3251330606612683,733,12761601.972529428,39250397.811205,default_profile,Default profile
resource_role_1_9,ROLE 1_9,0.3242174315387775,731,12725663.16522414,39250397.811205,default_profile,Default profile
resource_role_2_0,ROLE 2_0,0.9446422594825923,315,37077584.473967284,39250397.811205,default_profile,Default profile
resource_role_2_1,ROLE 2_1,0.945612511805645,314,37115667.26362435,39250397.811205,default_profile,Default profile
resource_role_2_2,ROLE 2_2,0.9461052021663786,315,37135005.55628089,39250397.811205,default_profile,Default profile
resource_role_2_3,ROLE 2_3,0.944431043422633,312,37069294.15958977,39250397.811205,default_profile,Default profile
resource_role_2_4,ROLE 2_4,0.9448529896514444,313,37085855.716925554,39250397.811205,default_profile,Default profile
resource_role_2_5,ROLE 2_5,0.9448763171931672,311,37086771.33221813,39250397.811205,default_profile,Default profile
resource_role_2_6,ROLE 2_6,0.9442449286532812,311,37061989.08085417,39250397.811205,default_profile,Default profile
resource_role_2_7,ROLE 2_7,0.9451980719681128,315,37099400.3351324,39250397.811205,default_profile,Default profile
resource_role_2_8,ROLE 2_8,0.9455528542151529,312,37113325.67946508,39250397.811205,default_profile,Default profile
resource_role_2_9,ROLE 2_9,0.9460197880843478,316,37131653.0195825,39250397.811205,default_profile,Default profile
resource_role_2_10,ROLE 2_10,0.9447053997019045,317,37080062.752693176,39250397.811205,default_profile,Default profile
resource_role_2_11,ROLE 2_11,0.944222955485232,313,37061126.625267066,39250397.811205,default_profile,Default profile
resource_role_2_12,ROLE 2_12,0.9455879395728031,311,37114702.793710195,39250397.811205,default_profile,Default profile
resource_role_2_13,ROLE 2_13,0.943592160437045,311,37036367.66868839,39250397.811205,default_profile,Default profile
resource_role_2_14,ROLE 2_14,0.9460771624060367,314,37133904.98453294,39250397.811205,default_profile,Default profile
resource_role_2_15,ROLE 2_15,0.9456512493175718,312,37117187.726377696,39250397.811205,default_profile,Default profile
resource_role_2_16,ROLE 2_16,0.9441318674081123,313,37057551.38200426,39250397.811205,default_profile,Default profile
resource_role_2_17,ROLE 2_17,0.9454917212413707,313,37110926.185924746,39250397.811205,default_profile,Default profile
resource_role_2_18,ROLE 2_18,0.943231826291164,312,37022224.4101176,39250397.811205,default_profile,Default profile
resource_role_2_19,ROLE 2_19,0.9461496072393821,311,37136748.473061115,39250397.811205,default_profile,Default profile
resource_role_2_20,ROLE 2_20,0.9438626328768362,310,37046983.81954716,39250397.811205,default_profile,Default profile
resource_role_2_21,ROLE 2_21,0.9455790491323598,311,37114353.84038608,39250397.811205,default_profile,Default profile
resource_role_2_22,ROLE 2_22,0.9451797824922051,312,37098682.465927266,39250397.811205,default_profile,Default profile
resource_role_2_23,ROLE 2_23,0.9451422550936444,310,37097209.500604935,39250397.811205,default_profile,Default profile
resource_role_2_24,ROLE 2_24,0.9433175958740468,313,37025590.90036585,39250397.811205,default_profile,Default profile
resource_role_2_25,ROLE 2_25,0.9439015517352882,311,37048511.40022376,39250397.811205,default_profile,Default profile
resource_role_2_26,ROLE 2_26,0.9432456029774975,313,37022765.15053671,39250397.811205,default_profile,Default profile
resource_role_2_27,ROLE 2_27,0.9435364628718912,311,37034181.517098986,39250397.811205,default_profile,Default profile
resource_role_2_28,ROLE 2_28,0.9454755014502281,311,37110289.55266998,39250397.811205,default_profile,Default profile
