started_at,2008-01-03 00:00:00+02:00
completed_at,2009-03-31 17:58:46.913869+02:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
resource_role_1_0,ROLE 1_0,0.3247474381063838,729,12731227.718399405,39203473.913869,default_profile,Default profile
resource_role_1_1,ROLE 1_1,0.32452541190594975,728,12722523.520042494,39203473.913869,default_profile,Default profile
resource_role_1_2,ROLE 1_2,0.3237720954848641,733,12692990.899379572,39203473.913869,default_profile,Default profile
resource_role_1_3,ROLE 1_3,0.32555483200132107,729,12762880.363897797,39203473.913869,default_profile,Default profile
resource_role_1_4,ROLE 1_4,0.3226128670751396,730,12647545.118658721,39203473.913869,default_profile,Default profile
resource_role_1_5,ROLE 1_5,0.3225762113603492,732,12646108.087300142,39203473.913869,default_profile,Default profile
resource_role_1_6,ROLE 1_6,0.32373596154724904,731,12691574.323498875,39203473.913869,default_profile,Default profile
resource_role_1_7,ROLE 1_7,0.3235943568267415,731,12686022.926532377,39203473.913869,default_profile,Default profile
resource_role_1_8,ROLE 1_8,0.32378789723513207,729,12693610.382883998,39203473.913869,default_profile,Default profile
resource_role_1_9,ROLE 1_9,0.32317901710170766,728,12669740.16645662,39203473.913869,default_profile,Default profile
resource_role_2_0,ROLE 2_0,0.9456539050437865,313,37072918.19793244,39203473.913869,default_profile,Default profile
resource_role_2_1,ROLE 2_1,0.9462449006222861,314,37096087.27767736,39203473.913869,default_profile,Default profile
resource_role_2_2,ROLE 2_2,0.9463124235372476,313,37098734.41051264,39203473.913869,default_profile,Default profile
resource_role_2_3,ROLE 2_3,0.9444051518301345,314,37023962.73389617,39203473.913869,default_profile,Default profile
resource_role_2_4,ROLE 2_4,0.9442889058917435,313,37019405.48928287,39203473.913869,default_profile,Default profile
resource_role_2_5,ROLE 2_5,0.9459265269792014,311,37083605.92486583,39203473.913869,default_profile,Default profile
resource_role_2_6,ROLE 2_6,0.9441136993921982,312,37012536.7858484,39203473.913869,default_profile,Default profile
resource_role_2_7,ROLE 2_7,0.9436971987928746,312,36996208.51546771,39203473.913869,default_profile,Default profile
resource_role_2_8,ROLE 2_8,0.9451504045477598,313,37053179.22937083,39203473.913869,default_profile,Default profile
resource_role_2_9,ROLE 2_9,0.9446587741620562,314,37033905.61036964,39203473.913869,default_profile,Default profile
resource_role_2_10,ROLE 2_10,0.9453188779686547,312,37059783.97273207,39203473.913869,default_profile,Default profile
resource_role_2_11,ROLE 2_11,0.9445275604711719,313,37028761.57786191,39203473.913869,default_profile,Default profile
resource_role_2_12,ROLE 2_12,0.9445565824242323,310,37029899.339241646,39203473.913869,default_profile,Default profile
resource_role_2_13,ROLE 2_13,0.9461676885338076,314,37093060.29558086,39203473.913869,default_profile,Default profile
resource_role_2_14,ROLE 2_14,0.9446409161843,314,37033205.51560452,39203473.913869,default_profile,Default profile
resource_role_2_15,ROLE 2_15,0.9436770866044084,313,36995420.04781182,39203473.913869,default_profile,Default profile
resource_role_2_16,ROLE 2_16,0.9454123225491211,312,37063447.32490478,39203473.913869,default_profile,Default profile
resource_role_2_17,ROLE 2_17,0.944924780658465,314,37044333.98911252,39203473.913869,default_profile,Default profile
resource_role_2_18,ROLE 2_18,0.9441075578035261,313,37012296.014237106,39203473.913869,default_profile,Default profile
resource_role_2_19,ROLE 2_19,0.945711973836442,316,37075194.69633052,39203473.913869,default_profile,Default profile
resource_role_2_20,ROLE 2_20,0.9432359474493034,311,36978125.86045228,39203473.913869,default_profile,Default profile
resource_role_2_21,ROLE 2_21,0.9448990487315528,313,37043325.208187066,39203473.913869,default_profile,Default profile
resource_role_2_22,ROLE 2_22,0.9455441037321809,312,37068613.6050772,39203473.913869,default_profile,Default profile
resource_role_2_23,ROLE 2_23,0.9445347516295752,312,37029043.49625279,39203473.913869,default_profile,Default profile
resource_role_2_24,ROLE 2_24,0.9445246315958198,311,37028646.75577345,39203473.913869,default_profile,Default profile
resource_role_2_25,ROLE 2_25,0.9430938839313263,313,36972556.47703115,39203473.913869,default_profile,Default profile
resource_role_2_26,ROLE 2_26,0.9439339519133759,310,37005490.06025131,39203473.913869,default_profile,Default profile
resource_role_2_27,ROLE 2_27,0.9434490653761326,310,36986480.823537305,39203473.913869,default_profile,Default profile
resource_role_2_28,ROLE 2_28,0.9452063862610619,312,37055373.907007925,39203473.913869,default_profile,Default profile
resource_role_2_29,ROLE 2_29,0.9448393319200905,313,37040984.10172668,39203473.913869,default_profile,Default profile
resource_role_2_30,ROLE 2_30,0.944556746116299,310,37029905.756539315,39203473.913869,default_profile,Default profile
resource_role_2_31,ROLE 2_31,0.9447872697437104,313,37038943.08355307,39203473.913869,default_profile,Default profile
resource_role_3_0,ROLE 3_0,2.2785029851059988e-05,178,893.2523233927567,39203473.913869,default_profile,Default profile
resource_role_3_1,ROLE 3_1,2.2625950573388728e-05,178,887.0158630803344,39203473.913869,default_profile,Default profile
resource_role_3_2,ROLE 3_2,2.2747634709931617e-05,178,891.7863039530251,39203473.913869,default_profile,Default profile
resource_role_3_3,ROLE 3_3,2.26971639783089e-05,178,889.8076759424401,39203473.913869,default_profile,Default profile
resource_role_3_4,ROLE 3_4,2.288060116055224e-05,178,896.9990507313505,39203473.913869,default_profile,Default profile
resource_role_3_5,ROLE 3_5,2.2333082133166965e-05,178,875.534402823905,39203473.913869,default_profile,Default profile
resource_role_3_6,ROLE 3_6,2.2288000806762464e-05,178,873.7670582202035,39203473.913869,default_profile,Default profile
resource_role_3_7,ROLE 3_7,2.27676776803956e-05,178,892.5720580227663,39203473.913869,default_profile,Default profile
resource_role_3_8,ROLE 3_8,2.2603221708962723e-05,178,886.1248126367176,39203473.913869,default_profile,Default profile
resource_role_3_9,ROLE 3_9,2.266647599755732e-05,178,888.6046004895763,39203473.913869,default_profile,Default profile
resource_role_3_10,ROLE 3_10,2.248449277815526e-05,178,881.4702260949856,39203473.913869,default_profile,Default profile
resource_role_3_11,ROLE 3_11,2.259635312150333e-05,178,885.8555401474282,39203473.913869,default_profile,Default profile
resource_role_3_12,ROLE 3_12,2.2505939586676257e-05,178,882.3110154933743,39203473.913869,default_profile,Default profile
resource_role_3_13,ROLE 3_13,2.2836040266500844e-05,178,895.2521088838279,39203473.913869,default_profile,Default profile
resource_role_3_14,ROLE 3_14,2.2663418664061508e-05,178,888.4847423956272,39203473.913869,default_profile,Default profile
resource_role_3_15,ROLE 3_15,2.243940719121085e-05,178,879.702714463319,39203473.913869,default_profile,Default profile
resource_role_3_16,ROLE 3_16,2.2643319193550866e-05,178,887.6967733277806,39203473.913869,default_profile,Default profile
resource_role_3_17,ROLE 3_17,2.2788742005359204e-05,178,893.3978527369903,39203473.913869,default_profile,Default profile
resource_role_3_18,ROLE 3_18,2.2818158756563807e-05,178,894.5510915754708,39203473.913869,default_profile,Default profile
